Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location Where Sexual Violence Was Committed,Reported Perpetrator,Perpetrator Group Name,Single And Group Perpetrators,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type,SV Context,Classification,Number of Reported Victims,Reported Deaths Following the Sexual Violence,SIND Event ID
,,,,,,,,,,,,,,,,,,,,,
29-09-2023,"September 2023: In Khartoum state, a girl was raped by five RSF members.",Sudan,SDN,Khartoum State,15.65080858,32.47764587,(2) 25 km Precision ,No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV Assault,1,,41224
27-09-2023,"September 2023: In Khartoum state, a female volunteer in the emergency room was raped by armed RSF militia whilst she was conducting a survey on the humanitarian needs of those trapped in the area. ",Sudan,SDN,Khartoum State,15.64717202,32.53463745,"(3) District, Communicipality or Commune ",Project Site,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Aid Worker,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,41225
23-09-2023,"September 2023: Near Zamzam IDP Camp, North Darfur state, a 21-year-old displaced woman was raped and later stabbed by four gunmen.",Sudan,SDN,North Darfur State,13.48831437,25.31037581,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,41226
18-09-2023,"September 2023: In Amhara region, two women were raped by an unidentified group militia. The perpetrator may either be ENDF or Fano militia as they were in conflict with each other in the area.",Ethiopia,ETH,Amhara Region,10.32572787,37.72156948,(2) 25 km Precision ,No Information,Multiple,"Ethiopian National Defense Forces, Fano",Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,41311
13-09-2023,"September 2023: In Delta state, five women were raped by armed Fulani militia in their farms.",Nigeria,NGA,Delta State,5.517575201,5.905066185,(2) 25 km Precision ,"Street, Road or Field",Other,Fulani herdsmen,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,5,,41317
13-09-2023,"September 2023: In Khartoum state, a nine-year-old girl was raped by RSF. ",Sudan,SDN,Khartoum State,15.60402424,32.58098649,(2) 25 km Precision ,No Information,Vigilante,Rapid Support Forces,No Information,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,No Information,1,,41222
11-09-2023,"September 2023: In Khartoum State, two individuals (gender unspecified) and one girl were raped by RSF members.",Sudan,SDN,Khartoum State,15.59724541,32.56484985,(2) 25 km Precision ,No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,"Female, Unclear","Unspecified, Minor, ",Rape,CRSV,Mass SV Assault,3,,41221
11-09-2023,"September 2023: In South Kivu province, female Burundian refugees are reportedly being raped by armed men whilst fetching firewood from forests.",DRC,COD,South Kivu,-3.382509185,29.14160467,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,41308
08-09-2023,"September: In Khartoum state,  a woman and her daughter were raped by RSF soldiers in an RSF detention centre. ",Sudan,SDN,Khartoum State,15.54366825,32.5525021,"(4) Province, State, Governorate ",Under Arrest/Detention,Vigilante,Rapid Support Forces,No Information,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,No Information,2,,41219
08-09-2023,"September 2023: In Khartoum state, a male detainee was forced to take off his clothes and threatened with rape throughout his detention by RSF soldiers inside a detention centre. ",Sudan,SDN,Khartoum State,15.66014764,32.53038906,(2) 25 km Precision ,Under Arrest/Detention,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Male,"Adult, ",ThreatOfSexualViolence,CRSV,Intimation,1,,41220
